amz_url,style_id,flip_url,flip_pdp_link
https://www.amazon.in/dp/B09QCC8N76,W_GL_RUN_YLW_XL,https://www.flipkart.com/search?q=juneberry%20W_GL_RUN_YLW_XL,https://www.flipkart.com/x/p/k?pid=TOPG6JG6YCPEWKEE
https://www.amazon.in/dp/B09RPSK2BJ,OS_601_ORANGE_,https://www.flipkart.com/search?q=juneberry%20OS_601_ORANGE_,https://www.flipkart.com/x/p/k?pid=TOPG36FNDSGKHJ8H
https://www.amazon.in/dp/B0B4PCZ3R3,OS_MTH_3060_B_L,https://www.flipkart.com/search?q=veirdo%20OS_MTH_3060_B_L,https://www.flipkart.com/x/p/k?pid=PANFWRRESHTMDCPW
https://www.amazon.in/dp/B0B51XFZVF,P_AEROPLANE_404_W_3XL,https://www.flipkart.com/search?q=veirdo%20P_AEROPLANE_404_W_3XL,https://www.flipkart.com/x/p/k?pid=KTAFZ9ACYUHSWTRR
https://www.amazon.in/dp/B09XXMHSNV,P_ST223 _GRY,https://www.flipkart.com/search?q=juneberry%20P_ST223 _GRY,NA
https://www.amazon.in/dp/B0B77KJ8ZV,P_SUPERIOR_400_SN_3XL,https://www.flipkart.com/search?q=veirdo%20P_SUPERIOR_400_SN_3XL,https://www.flipkart.com/x/p/k?pid=TSHGHYHFYXZFJRWJ
https://www.amazon.in/dp/B09SB47KDR,TSH_MIM_BLK_,https://www.flipkart.com/search?q=veirdo%20TSH_MIM_BLK_,https://www.flipkart.com/x/p/k?pid=TSHGDRHDKQME9NWD
https://www.amazon.in/dp/B0B3TQW2KD,T_DMF2220_SN_L,https://www.flipkart.com/search?q=juneberry%20T_DMF2220_SN_L,NA
https://www.amazon.in/dp/B09X2T1XYH,T_DMF3004_YL_L_UL,https://www.flipkart.com/search?q=veirdo%20T_DMF3004_YL_L_UL,https://www.flipkart.com/x/p/k?pid=TSHGEMZNXH3VCZMN
https://www.amazon.in/dp/B09XVJ58KL,T_MAOP2229_BL,https://www.flipkart.com/search?q=juneberry%20T_MAOP2229_BL,https://www.flipkart.com/x/p/k?pid=TSHGF9VAMCDHCNRE
https://www.amazon.in/dp/B09XY28JWD,T_MAV3020_NB_L,https://www.flipkart.com/search?q=veirdo%20T_MAV3020_NB_L,https://www.flipkart.com/x/p/k?pid=TSHFPJJQBZQGATYX
https://www.amazon.in/dp/B09XY1CPCN,T_MTH3033_LLC_L,https://www.flipkart.com/search?q=veirdo%20T_MTH3033_LLC_L,https://www.flipkart.com/x/p/k?pid=TSHGG4FJK5WQSSSH
https://www.amazon.in/dp/B09Q9693N9,W_GL_DALI_RED_3XL,https://www.flipkart.com/search?q=juneberry%20W_GL_DALI_RED_3XL,https://www.flipkart.com/x/p/k?pid=SWSG9XVGVF8SBKNU
https://www.amazon.in/dp/B09QCLJD9S,W_GL_RUN_NAVY_3XL,https://www.flipkart.com/search?q=juneberry%20W_GL_RUN_NAVY_3XL,https://www.flipkart.com/x/p/k?pid=SWSG9XVGUAYBQKFG
