Amazon_Product_Title,Sku_id,Amazon_URL,Flipkart_Product_Title,Flipkart_URL,Myntra_Product_Title,Myntra_URL,Choose
"Veirdo Shirt for Men, Cotton Regular Fit Full-Sleeve, Plaid Printed Shirt Red",VSH01RDCH015_L,https://www.amazon.in/dp/B0BLWDK3NL,Veirdo Men Checkered Casual Red Shirt,https://www.flipkart.com/x/p/k?pid=SHTGJQAFGJF6PH8W,VEIRDO Men Red Tartan Checks Checked Casual Shirt,https://www.myntra.com/20640804,1
"Veirdo Shirt for Men, Cotton Regular Fit Short-Sleeve, Geometric Printed Shirt Black",VSH01RDPT005_L,https://www.amazon.in/dp/B0BLWBPV45,"Veirdo Men Printed Casual Black, Red Shirt",https://www.flipkart.com/x/p/k?pid=SHTGJQA2HHG68YY3,VEIRDO Men Black Printed Casual Shirt,https://www.myntra.com/20640810,1
"Veirdo Shirt for Men, Cotton Regular Fit Short-Sleeve, Geometric Printed Shirt Blue",VSH01RDPT009_L,https://www.amazon.in/dp/B0BLWBQNQT,Veirdo Men Printed Casual Blue Shirt,https://www.flipkart.com/x/p/k?pid=SHTGJQA2PD6JHHS7,VEIRDO Men Navy Blue Printed Casual Shirt,https://www.myntra.com/20640786,1
"Veirdo Shirt for Men, Cotton Regular Fit Full-Sleeve, Plaid Printed Shirt Maroon",VSH01RRCH029_L,https://www.amazon.in/dp/B0BLWCRYK3,Veirdo Men Checkered Casual Maroon Shirt,https://www.flipkart.com/x/p/k?pid=SHTGJQA6AJP3PHCH,VEIRDO Men Maroon Tartan Checks Checked Casual Shirt,https://www.myntra.com/20640812,1
"Veirdo Shirt for Men, Cotton Regular Fit Full-Sleeve, Plaid Printed Shirt Red",VSH01RUCH021_L,https://www.amazon.in/dp/B0BLW7Q6K9,Veirdo Men Checkered Casual Red Shirt,https://www.flipkart.com/x/p/k?pid=SHTGJQAAZZ8HZKQB,VEIRDO Men Red Tartan Checks Checked Casual Shirt,https://www.myntra.com/20640806,1
"Veirdo Shirt for Men, Cotton Regular Fit Short-Sleeve, Floral Printed Shirt Teal",VSH01SBPT006_L,https://www.amazon.in/dp/B0BLWBM72T,Veirdo Men Printed Casual Blue Shirt,https://www.flipkart.com/x/p/k?pid=SHTGJQA2ZDWSJPHB,VEIRDO Men Blue Printed Casual Shirt,https://www.myntra.com/20640814,1
"Veirdo Shirt for Men, Cotton Regular Fit Full-Sleeve, Plaid Printed Shirt Blue",VSH01TBCH027_L,https://www.amazon.in/dp/B0BLW9N4CM,"Veirdo Men Checkered Casual Black, Blue Shirt",https://www.flipkart.com/x/p/k?pid=SHTGJQA63JVV9YAX,VEIRDO Men Blue Tartan Checks Checked Casual Shirt,https://www.myntra.com/20640832,1
Veirdo Geometric Print Zip Up Cotton Shacket/Jacket For Men & Boys,VSK01BKPT002_L,https://www.amazon.in/dp/B0BPMKJ7TT,Veirdo Full Sleeve Printed Men Jacket,https://www.flipkart.com/x/p/k?pid=JCKGKRNSDSBJUH6G,VEIRDO Men Lightweight Bomber Jacket,https://www.myntra.com/21176550,1
Veirdo Leopard Printed Zip Up Cotton Shacket/Jacket For Men & Boys,VSK01BLPT008_L,https://www.amazon.in/dp/B0BPMGVG4P,Veirdo Full Sleeve Printed Men Jacket,https://www.flipkart.com/x/p/k?pid=JCKGKRQSNKDJ2WBW,VEIRDO Men Floral Cotton Lightweight Bomber Jacket,https://www.myntra.com/21176546,1
Veirdo Chains Printed Zip Up Cotton Shacket/Jacket For Men & Boys,VSK01BLPT009_L,https://www.amazon.in/dp/B0BPMH3BDM,Veirdo Full Sleeve Printed Men Jacket,https://www.flipkart.com/x/p/k?pid=JCKGKRQ8KCJWXX9H,VEIRDO Men Cotton Lightweight Tailored Jacket,https://www.myntra.com/21176560,1
Veirdo Paisley Printed Zip Up Cotton Shacket/Jacket For Men & Boys,VSK01NBPT001_L,https://www.amazon.in/dp/B0BPMHKZ82,Veirdo Full Sleeve Printed Men Jacket,https://www.flipkart.com/x/p/k?pid=JCKGKRNSHU8TUZKV,VEIRDO Men Cotton Floral Lightweight Bomber Jacket,https://www.myntra.com/21176558,1
Veirdo Flowers Printed Zip Up Cotton Shacket/Jacket For Men & Boys,VSK01NBPT005_L,https://www.amazon.in/dp/B0BPMHK8NM,Veirdo Full Sleeve Floral Print Men Jacket,https://www.flipkart.com/x/p/k?pid=JCKGKRRHERBKRKJD,VEIRDO Men Floral Lightweight Bomber  Jacket,https://www.myntra.com/21176562,1
Veirdo Leaves Printed Zip Up Cotton Shacket/Jacket For Men & Boys,VSK01NBPT006_L,https://www.amazon.in/dp/B0BPMJMVY2,Veirdo Full Sleeve Printed Men Jacket,https://www.flipkart.com/x/p/k?pid=JCKGKRQJYF2G9UNH,VEIRDO Men Floral Printed Lightweight Bomber Jacket,https://www.myntra.com/21176554,1
Veirdo Army Camoflauge Printed Zip Up Cotton Shacket/Jacket For Men & Boys,VSK01OLPT007_L,https://www.amazon.in/dp/B0BPMH3BXR,Veirdo Full Sleeve Camouflage Men Jacket,https://www.flipkart.com/x/p/k?pid=JCKGKRQ8RGVFGPGR,VEIRDO Men Camouflage Printed Cotton Lightweight Bomber Jacket,https://www.myntra.com/21176548,1
Veirdo Floral Print Zip Up Cotton Shacket/Jacket For Men & Boys,VSK01RDPT003_L,https://www.amazon.in/dp/B0BPMG85YB,Veirdo Full Sleeve Floral Print Men Jacket,https://www.flipkart.com/x/p/k?pid=JCKGKRNSYDWSHFZF,VEIRDO Men Floral Printed Lightweight Bomber Jacket,https://www.myntra.com/21176552,1
