flipk_pdp_lst,flipk_given_lst,title_1,title_2
https://www.flipkart.com/x/p/k?pid=TSHFVT9TSGHBK6FY,https://www.flipkart.com/x/p/k?pid=TOPGCYVHZ3THVUVZ,Thumb Cut Tee For Women Women Solid High Neck Black T-Shirt,Casual Regular Sleeves Printed Women Black Top
https://www.flipkart.com/x/p/k?pid=TOPGCYVGZ9U8NXVK,https://www.flipkart.com/x/p/k?pid=TOPGCYVG8ZFTWRZQ,Casual Regular Sleeves Printed Women White Top,Casual Regular Sleeves Printed Women Black Top
https://www.flipkart.com/x/p/k?pid=TSHFTN3FEZDPAG74,https://www.flipkart.com/x/p/k?pid=TOPGCYVEGU6YQVBW,Women Solid Round Neck White T-Shirt,Casual Regular Sleeves Printed Women White Top
https://www.flipkart.com/x/p/k?pid=TSHGEMR3UPXWJBTG,https://www.flipkart.com/x/p/k?pid=TSHGEMR3XX7CRCFN,Men Printed Round Neck Blue T-Shirt,Men Printed Round Neck Blue T-Shirt
https://www.flipkart.com/x/p/k?pid=TSHGDUYRTS8JATKY,https://www.flipkart.com/x/p/k?pid=TSHGDUYRAUWVHH8Z,Men Printed Round Neck Black T-Shirt,Men Printed Round Neck Black T-Shirt
https://www.flipkart.com/x/p/k?pid=TSHGDUYQ8ZV4JZ4P,https://www.flipkart.com/x/p/k?pid=TSHGDUYQNBMNTZDY,Men Printed Round Neck Black T-Shirt,Men Printed Round Neck Black T-Shirt
https://www.flipkart.com/x/p/k?pid=TSHGF2AYEFKRJ6BQ,https://www.flipkart.com/x/p/k?pid=TSHGF2AYZHPGQVUJ,Women Printed Round Neck Navy Blue T-Shirt,Women Printed Round Neck Navy Blue T-Shirt
https://www.flipkart.com/x/p/k?pid=TSHGG4FJK5WQSSSH,https://www.flipkart.com/x/p/k?pid=TSHGDUYQ9DNZC5FB,Levi'sMen's Crew Neck T-Shirt Men Graphic Print Crew Neck Blue T-Shirt,Men Printed Round Neck Black T-Shirt
https://www.flipkart.com/x/p/k?pid=TSHGEMZNXH3VCZMN,https://www.flipkart.com/x/p/k?pid=TSHGEMZNDKSFRJDR,Men Printed Round Neck Yellow T-Shirt,Men Printed Round Neck Yellow T-Shirt
https://www.flipkart.com/x/p/k?pid=TSHGG4FJAG9FWH2U,https://www.flipkart.com/x/p/k?pid=TSHGEMZNV4F2Q868,Levi'sMen's Crew Neck T-Shirt Men Solid Crew Neck White T-Shirt,Men Printed Round Neck White T-Shirt
https://www.flipkart.com/x/p/k?pid=TSHGG4FJGF2KWZMH,https://www.flipkart.com/x/p/k?pid=TSHGEMZZRR2KH5F9,Levi'sMen's Crew Neck T-Shirt Men Graphic Print Crew Neck Blue T-Shirt,Men Printed Round Neck Red T-Shirt
https://www.flipkart.com/x/p/k?pid=TSHGF9VASCNXK2VH,https://www.flipkart.com/x/p/k?pid=TSHGF9VAZGB7XYJZ,Women Printed Round Neck Black T-Shirt,Women Printed Round Neck Black T-Shirt
https://www.flipkart.com/x/p/k?pid=SHTGJQA68TDWZR6H,https://www.flipkart.com/x/p/k?pid=SHTGJQA64RP7ZA8N,Men Regular Fit Checkered Spread Collar Casual Shirt,Men Regular Fit Checkered Spread Collar Casual Shirt
https://www.flipkart.com/x/p/k?pid=SHTGJQA6RGMYFZGE,https://www.flipkart.com/x/p/k?pid=SHTGJQA6GD5YTGQD,Men Regular Fit Checkered Spread Collar Casual Shirt,Men Regular Fit Checkered Spread Collar Casual Shirt
https://www.flipkart.com/x/p/k?pid=SHTGJQA63ZBKRDUK,https://www.flipkart.com/x/p/k?pid=SHTGJQA6CJMT4PQB,Men Regular Fit Checkered Spread Collar Casual Shirt,Men Regular Fit Checkered Spread Collar Casual Shirt
https://www.flipkart.com/x/p/k?pid=SHTGJQA6HXEXT5WW,https://www.flipkart.com/x/p/k?pid=SHTGJQA6PZSHPEM9,Men Regular Fit Printed Spread Collar Casual Shirt,Men Regular Fit Printed Casual Shirt
https://www.flipkart.com/x/p/k?pid=SHTGJQA27QGRJMJG,https://www.flipkart.com/x/p/k?pid=SHTGJQA2SKGYFFUU,Men Regular Fit Printed Spread Collar Casual Shirt,Men Regular Fit Printed Spread Collar Casual Shirt
https://www.flipkart.com/x/p/k?pid=SHTGJQAEXR3WREAK,https://www.flipkart.com/x/p/k?pid=SHTGJQAE9AE4K539,Men Regular Fit Checkered Spread Collar Casual Shirt,Men Regular Fit Checkered Spread Collar Casual Shirt
https://www.flipkart.com/x/p/k?pid=SHTGJQA6VRRSGXCD,https://www.flipkart.com/x/p/k?pid=SHTGJQA67A8W6KQE,Men Regular Fit Checkered Spread Collar Casual Shirt,Men Regular Fit Checkered Spread Collar Casual Shirt
https://www.flipkart.com/x/p/k?pid=SHTGJQAYAB9XDDNR,https://www.flipkart.com/x/p/k?pid=SHTGJQAYVFHAPNKR,Men Regular Fit Checkered Spread Collar Casual Shirt,Men Regular Fit Checkered Spread Collar Casual Shirt
https://www.flipkart.com/x/p/k?pid=SHTGJQAFC4WAHA5Z,https://www.flipkart.com/x/p/k?pid=SHTGJQAFWRJAB9DP,Men Regular Fit Checkered Spread Collar Casual Shirt,Men Regular Fit Checkered Spread Collar Casual Shirt
https://www.flipkart.com/x/p/k?pid=SHTGJQAYGV5CJTSH,https://www.flipkart.com/x/p/k?pid=SHTGJQAYSZPNZSTX,Men Regular Fit Checkered Spread Collar Casual Shirt,Men Regular Fit Checkered Spread Collar Casual Shirt
https://www.flipkart.com/x/p/k?pid=SHTGJQA6BAREDR2G,https://www.flipkart.com/x/p/k?pid=SHTGJQA68ZGAQRMP,Men Regular Fit Checkered Spread Collar Casual Shirt,Men Regular Fit Checkered Spread Collar Casual Shirt
https://www.flipkart.com/x/p/k?pid=SHTGJQA6DASFUUJR,https://www.flipkart.com/x/p/k?pid=SHTGJQA6ZZPHPA4G,Men Regular Fit Printed Spread Collar Casual Shirt,Men Regular Fit Printed Spread Collar Casual Shirt
https://www.flipkart.com/x/p/k?pid=SHTGJQAFGKYGZPD9,https://www.flipkart.com/x/p/k?pid=SHTGJQAFCMS9QWHA,Men Regular Fit Checkered Spread Collar Casual Shirt,Men Regular Fit Checkered Spread Collar Casual Shirt
https://www.flipkart.com/x/p/k?pid=SHTGJQAA5SHJKKRD,https://www.flipkart.com/x/p/k?pid=SHTGJQAAHFHDHS9H,Men Regular Fit Checkered Spread Collar Casual Shirt,Men Regular Fit Checkered Spread Collar Casual Shirt
https://www.flipkart.com/x/p/k?pid=SHTGJQAFFNGVBSRC,https://www.flipkart.com/x/p/k?pid=SHTGJQAFGHFGYZH5,Men Regular Fit Printed Spread Collar Casual Shirt,Men Regular Fit Printed Casual Shirt
https://www.flipkart.com/x/p/k?pid=SHTGJQA6YBHTE2GA,https://www.flipkart.com/x/p/k?pid=SHTGJQA6XZ2JQHNS,Men Regular Fit Printed Spread Collar Casual Shirt,Men Regular Fit Printed Casual Shirt
https://www.flipkart.com/x/p/k?pid=SHTGJQA67Z94CE6M,https://www.flipkart.com/x/p/k?pid=SHTGJQA6248TQUSC,Men Regular Fit Printed Spread Collar Casual Shirt,Men Regular Fit Printed Spread Collar Casual Shirt
https://www.flipkart.com/x/p/k?pid=SHTGJQA6RYYZGHER,https://www.flipkart.com/x/p/k?pid=SHTGJQA6WXMGHCNA,Men Regular Fit Printed Spread Collar Casual Shirt,Men Regular Fit Printed Spread Collar Casual Shirt
https://www.flipkart.com/x/p/k?pid=SHTGJQA6N68VSVQM,https://www.flipkart.com/x/p/k?pid=SHTGJQA6Z7Y5ZGWV,Men Regular Fit Printed Spread Collar Casual Shirt,Men Regular Fit Printed Spread Collar Casual Shirt
https://www.flipkart.com/x/p/k?pid=SHTGJQAEN5YTYYWU,https://www.flipkart.com/x/p/k?pid=SHTGJQAEAKXX85NT,Men Regular Fit Printed Spread Collar Casual Shirt,Men Regular Fit Printed Spread Collar Casual Shirt
https://www.flipkart.com/x/p/k?pid=SHTGJQA6SHJWG9YN,https://www.flipkart.com/x/p/k?pid=SHTGJQA6JTYHSN3N,Men Regular Fit Checkered Spread Collar Casual Shirt,Men Regular Fit Checkered Casual Shirt
https://www.flipkart.com/x/p/k?pid=SHTGJQA6PVQENNVW,https://www.flipkart.com/x/p/k?pid=SHTGJQA6TCZEEJFY,Men Regular Fit Checkered Spread Collar Casual Shirt,Men Regular Fit Checkered Spread Collar Casual Shirt
https://www.flipkart.com/x/p/k?pid=SHTGJQA6HNVYZE9W,https://www.flipkart.com/x/p/k?pid=SHTGJQA62JVTYF5B,Men Regular Fit Checkered Spread Collar Casual Shirt,Men Regular Fit Checkered Spread Collar Casual Shirt
https://www.flipkart.com/x/p/k?pid=SHTGJQAFKRKGKGBP,https://www.flipkart.com/x/p/k?pid=SHTGJQAF2REMHGE8,Men Regular Fit Checkered Spread Collar Casual Shirt,Men Regular Fit Checkered Spread Collar Casual Shirt
